track	layer	comparison	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	32	finance_consequence_minus_finance_neutral	16	159	0.005017066430022797	0.012234309636677852	0.111328125	0.10989414971893088	0.007217243206655055	0.076171875	0.09474944927711251	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	17	221	0.004788391884374018	0.020688897828495173	0.109375	0.18915563728909873	0.015900505944121155	0.087890625	0.18091242318644515	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	18	204	0.004722616571164183	0.0052723894909831705	0.064453125	0.08180192179949647	0.0005497729198189875	0.005859375	0.0938279116491072	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	19	46	0.004699824257598729	0.020760600660447995	0.166015625	0.12505208868411027	0.016060776402849267	0.13671875	0.1174731074036975	512	512
generation_clean	32	finance_consequence_minus_finance_neutral	20	22	0.004490846375774363	0.00954600118209419	0.083984375	0.11366401407516803	0.005055154806319828	0.037109375	0.13622311899135536	512	512
generation_clean	32	nonfinance_consequence_minus_nonfinance_neutral	1	81	0.034647038642215876	0.03974654732309905	0.3557114228456914	0.11173818092521928	0.005099508680883169	0.05612244897959184	0.09086397285937284	998	980
generation_clean	32	nonfinance_consequence_minus_nonfinance_neutral	2	177	0.03092419274160999	0.04140099352721949	0.3166332665330661	0.13075377069672484	0.010476800785609499	0.10816326530612246	0.09686098839525763	998	980
generation_clean	32	nonfinance_consequence_minus_nonfinance_neutral	3	62	0.025593996436609166	0.032970365914195277	0.2835671342685371	0.11627005364793952	0.0073763694775861085	0.07448979591836735	0.09902523408266282	998	980
generation_clean	32	nonfinance_consequence_minus_nonfinance_neutral	4	159	0.02383094325187947	0.03412488899985865	0.2625250501002004	0.12998717260251502	0.010293945747979183	0.10612244897959183	0.09700064262518845	998	980
generation_clean	32	nonfinance_consequence_minus_nonfinance_neutral	5	115	0.01882615419009562	0.04003455085547917	0.33567134268537074	0.11926710971274093	0.021208396665383548	0.2153061224489796	0.09850345370652075	998	980
generation_clean	32	nonfinance_consequence_minus_nonfinance_neutral	6	91	0.011088454452184766	0.016204233407867988	0.16032064128256512	0.10107390588157658	0.005115778955683221	0.05102040816326531	0.10026926753139112	998	980
generation_clean	32	nonfinance_consequence_minus_nonfinance_neutral	7	185	0.009131727047743236	0.011723898094490447	0.11122244488977956	0.10540946214686005	0.0025921710467472106	0.02040816326530612	0.12701638129061332	998	980
