track	layer	comparison	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
prefill	28	finance_consequence_minus_finance_neutral	133	0.0003937877660999471	0.0011422413770787036	0.009900990099009901	0.0007484536109787565	0.01020408163265306	101	98
prefill	28	finance_consequence_minus_finance_neutral	42	-0.0011631868130973716	0.0	0.0	0.0011631868130973716	0.01020408163265306	101	98
prefill	28	finance_consequence_minus_finance_neutral	151	-0.0045192471245100166	0.0	0.0	0.0045192471245100166	0.04081632653061224	101	98
prefill	28	finance_consequence_minus_finance_neutral	174	-0.0011426394220539484	0.0	0.0	0.0011426394220539484	0.01020408163265306	101	98
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	173	0.0	0.0	0.0	0.0	0.0	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	45	0.0022306820701939937	0.0025556225615974114	0.026737967914438502	0.0003249404914034176	0.0053475935828877	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	25	0.0	0.0	0.0	0.0	0.0	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	218	-0.001781832500348793	0.0031203692356252953	0.0481283422459893	0.004902201735974088	0.0748663101604278	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	185	0.0	0.0	0.0	0.0	0.0	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	157	0.0	0.0	0.0	0.0	0.0	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	222	0.0009010596585365139	0.0009010596585365139	0.0106951871657754	0.0	0.0	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	233	-0.0047726562902535435	0.004233768613107593	0.058823529411764705	0.009006424903361137	0.10695187165775401	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	36	-0.000141243684830346	0.00042373349531011874	0.0053475935828877	0.0005649771801404648	0.0053475935828877	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	216	0.0	0.0	0.0	0.0	0.0	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	189	0.0029897168171130507	0.004974034472972259	0.058823529411764705	0.0019843176558592083	0.0213903743315508	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	133	0.0014522489522459142	0.0019964391278161453	0.0213903743315508	0.0005441901755702312	0.0053475935828877	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	42	0.0104791568709056	0.01204151084856829	0.0962566844919786	0.001562353977662691	0.016042780748663103	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	151	-0.00248134784973395	0.0010143472318220944	0.016042780748663103	0.003495695081556044	0.03208556149732621	187	187
prefill	28	nonfinance_consequence_minus_nonfinance_neutral	174	0.0	0.0	0.0	0.0	0.0	187	187
prefill	28	finance_consequence_minus_nonfinance_consequence	173	0.0	0.0	0.0	0.0	0.0	101	187
prefill	28	finance_consequence_minus_nonfinance_consequence	45	0.004313258200860787	0.006868880762458198	0.07920792079207921	0.0025556225615974114	0.026737967914438502	101	187
prefill	28	finance_consequence_minus_nonfinance_consequence	25	0.0	0.0	0.0	0.0	0.0	101	187
