run	track	layer	rank	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
baseline	prefill	2	1	222	0.048883267685232726	0.07155777626711159	0.15527950310559005	0.02267450858187886	0.043478260869565216	161	161
baseline	prefill	2	2	233	0.01993365141990087	0.029422468077568927	0.18633540372670807	0.009488816657668056	0.06832298136645963	161	161
baseline	prefill	2	3	41	0.011625152855392187	0.042625719234553765	0.36645962732919257	0.031000566379161577	0.2484472049689441	161	161
baseline	prefill	2	4	61	0.009040003026205676	0.01232175973498404	0.17391304347826086	0.003281756708778365	0.06832298136645963	161	161
baseline	prefill	2	5	168	0.00834506715182276	0.008883814018530264	0.16149068322981366	0.0005387468667075038	0.012422360248447204	161	161
baseline	prefill	2	6	158	0.007731315117347565	0.06141824214022154	0.4472049689440994	0.053686927022873976	0.391304347826087	161	161
baseline	prefill	2	7	84	0.007665954430166964	0.017166011986557036	0.10559006211180125	0.009500057556390072	0.055900621118012424	161	161
baseline	prefill	2	8	204	0.0068838092040463626	0.010055013365519616	0.17391304347826086	0.0031712041614732536	0.055900621118012424	161	161
baseline	prefill	2	9	153	0.005817843595410176	0.04693235600124519	0.42857142857142855	0.04111451240583502	0.3416149068322981	161	161
baseline	prefill	2	10	125	0.004928530075357756	0.005488984625918067	0.031055900621118012	0.0005604545505603112	0.006211180124223602	161	161
baseline	prefill	2	11	178	0.004388172222446607	0.006966053559592854	0.037267080745341616	0.002577881337146247	0.012422360248447204	161	161
baseline	prefill	2	12	101	0.004153363185555625	0.007408160986523758	0.043478260869565216	0.003254797800968133	0.031055900621118012	161	161
baseline	prefill	2	13	238	0.004123845970891573	0.004670104593028876	0.018633540372670808	0.0005462586221373024	0.006211180124223602	161	161
baseline	prefill	2	14	47	0.004083225045765465	0.004083225045765465	0.018633540372670808	0.0	0.0	161	161
baseline	prefill	2	15	150	0.0039673071079056295	0.004689671378183033	0.037267080745341616	0.0007223642702774032	0.006211180124223602	161	161
baseline	prefill	3	1	58	0.022143014990929834	0.046014711267526	0.40993788819875776	0.023871696276596167	0.2546583850931677	161	161
baseline	prefill	3	2	240	0.014427166856651479	0.024972138478739414	0.16770186335403728	0.010544971622087935	0.062111801242236024	161	161
baseline	prefill	3	3	41	0.012706574571603483	0.022570680750868273	0.14906832298136646	0.00986410617926479	0.062111801242236024	161	161
baseline	prefill	3	4	69	0.012345864848100113	0.039960748709544226	0.36024844720496896	0.027614883861444114	0.2484472049689441	161	161
baseline	prefill	3	5	6	0.010109022702542193	0.0424221220740357	0.32298136645962733	0.03231309937149351	0.2546583850931677	161	161
baseline	prefill	3	6	204	0.009470456660828245	0.009470456660828245	0.07453416149068323	0.0	0.0	161	161
baseline	prefill	3	7	129	0.008417858426784393	0.04746251254165142	0.2422360248447205	0.039044654114867024	0.18012422360248448	161	161
baseline	prefill	3	8	14	0.007795668726201664	0.009744221200605953	0.062111801242236024	0.0019485524744042887	0.031055900621118012	161	161
baseline	prefill	3	9	73	0.007789589275837727	0.01164213402553095	0.10559006211180125	0.0038525447496932236	0.037267080745341616	161	161
baseline	prefill	3	10	148	0.006528170648730477	0.009262718389628085	0.07453416149068323	0.002734547740897608	0.018633540372670808	161	161
baseline	prefill	3	11	182	0.006083935577465799	0.012030182430365525	0.15527950310559005	0.005946246852899726	0.07453416149068323	161	161
baseline	prefill	3	12	141	0.005703652930268232	0.005703652930268232	0.049689440993788817	0.0	0.0	161	161
baseline	prefill	3	13	62	0.005703478604285078	0.00928843466684406	0.08074534161490683	0.003584956062558983	0.031055900621118012	161	161
baseline	prefill	3	14	52	0.005545573811571195	0.005545573811571195	0.049689440993788817	0.0	0.0	161	161
baseline	prefill	3	15	25	0.005537011698927549	0.03275779084354211	0.2981366459627329	0.027220779144614564	0.2732919254658385	161	161
baseline	prefill	4	1	109	0.017197753241517726	0.02306847732499901	0.16770186335403728	0.005870724083481287	0.062111801242236024	161	161
baseline	prefill	4	2	38	0.011662558312623405	0.01294990879017585	0.11801242236024845	0.0012873504775524451	0.018633540372670808	161	161
baseline	prefill	4	3	188	0.008909349201387319	0.01044294287141115	0.062111801242236024	0.001533593670023832	0.018633540372670808	161	161
baseline	prefill	4	4	219	0.00875739294317892	0.03794322048631279	0.2919254658385093	0.02918582754313387	0.22981366459627328	161	161
baseline	prefill	4	5	98	0.008373870107889547	0.017651437104275417	0.13043478260869565	0.00927756699638587	0.06832298136645963	161	161
baseline	prefill	4	6	29	0.008092288414755414	0.00966908961352578	0.09316770186335403	0.0015768011987703663	0.018633540372670808	161	161
baseline	prefill	4	7	58	0.007864085904746632	0.023573244940587545	0.13043478260869565	0.015709159035840914	0.08074534161490683	161	161
baseline	prefill	4	8	129	0.006454151912455484	0.055120164058381535	0.43478260869565216	0.04866601214592605	0.422360248447205	161	161
baseline	prefill	4	9	244	0.006279614702016434	0.026416253431864427	0.16149068322981366	0.020136638729847993	0.13043478260869565	161	161
baseline	prefill	4	10	94	0.0055602003512474985	0.007331070378367385	0.049689440993788817	0.001770870027119886	0.012422360248447204	161	161
baseline	prefill	4	11	119	0.004238273936671113	0.007667130429626733	0.037267080745341616	0.00342885649295562	0.024844720496894408	161	161
baseline	prefill	4	12	208	0.004101482178429126	0.005771026957481114	0.055900621118012424	0.0016695447790519877	0.018633540372670808	161	161
baseline	prefill	4	13	37	0.004003010619854543	0.011562232366925851	0.06832298136645963	0.007559221747071308	0.062111801242236024	161	161
baseline	prefill	4	14	179	0.003692589782536169	0.004715253500233172	0.043478260869565216	0.0010226637176970028	0.012422360248447204	161	161
baseline	prefill	4	15	194	0.003470156327200842	0.007172099863877566	0.09316770186335403	0.0037019435366767244	0.049689440993788817	161	161
baseline	prefill	5	1	44	0.02193510287267717	0.04676260441832241	0.2670807453416149	0.02482750154564524	0.17391304347826086	161	161
baseline	prefill	5	2	86	0.015530734705678367	0.09475767474272433	0.5341614906832298	0.07922694003704596	0.42857142857142855	161	161
baseline	prefill	5	3	99	0.011728401197412173	0.012339437384699288	0.09316770186335403	0.0006110361872871156	0.006211180124223602	161	161
baseline	prefill	5	4	107	0.010856851021047293	0.012817646809227552	0.11180124223602485	0.001960795788180258	0.024844720496894408	161	161
baseline	prefill	5	5	116	0.006361458223981202	0.013613952529126491	0.10559006211180125	0.007252494305145289	0.062111801242236024	161	161
baseline	prefill	5	6	205	0.006246665128260692	0.04059147039247775	0.34782608695652173	0.03434480526421706	0.2919254658385093	161	161
