layer	track	group	expert	W	S	Q	dense_top1_wins	dense_top1_share	n_tokens
1	prefill	A_unsafe_redflag	173	0.09278830676582106	0.16770186335403728	0.5532932366406367	25	0.15527950310559005	161
1	prefill	A_unsafe_redflag	33	0.04542461464962067	0.33540372670807456	0.13543264738127644	14	0.08695652173913043	161
1	prefill	A_unsafe_redflag	233	0.04401580578307472	0.36645962732919257	0.12011092764533948	4	0.024844720496894408	161
1	prefill	A_unsafe_redflag	82	0.03925530866882123	0.13043478260869565	0.30095736646096277	13	0.08074534161490683	161
1	prefill	A_unsafe_redflag	214	0.033067350972819175	0.15527950310559005	0.2129537402649555	12	0.07453416149068323	161
1	prefill	A_unsafe_redflag	224	0.03247066487917919	0.2360248447204969	0.13757308014599604	7	0.043478260869565216	161
1	prefill	A_unsafe_redflag	24	0.025514513442584708	0.2111801242236025	0.12081872541929817	3	0.018633540372670808	161
1	prefill	A_unsafe_redflag	205	0.025204717590203752	0.2608695652173913	0.09661808409578106	0	0.0	161
1	prefill	A_unsafe_redflag	112	0.020201875756016976	0.13664596273291926	0.1478409998508515	7	0.043478260869565216	161
1	prefill	A_unsafe_redflag	23	0.019988574178749573	0.16149068322981366	0.12377540164533389	0	0.0	161
1	prefill	A_unsafe_redflag	254	0.019547179899634382	0.09316770186335403	0.20980639758940905	7	0.043478260869565216	161
1	prefill	A_unsafe_redflag	118	0.01897234488897525	0.16149068322981366	0.11748259719711597	1	0.006211180124223602	161
1	prefill	A_unsafe_redflag	108	0.018583063848606408	0.11180124223602485	0.16621518220142398	7	0.043478260869565216	161
1	prefill	A_unsafe_redflag	202	0.015934157023739876	0.13043478260869565	0.12216187051533905	2	0.012422360248447204	161
1	prefill	A_unsafe_redflag	120	0.015556994819771713	0.11180124223602485	0.1391486758879581	1	0.006211180124223602	161
1	prefill	A_unsafe_redflag	19	0.014342648027824105	0.13664596273291926	0.10496210602180367	0	0.0	161
1	prefill	A_unsafe_redflag	17	0.014266832723916286	0.19254658385093168	0.07409548608227491	0	0.0	161
1	prefill	A_unsafe_redflag	94	0.013722769242189894	0.11180124223602485	0.1227425471106985	1	0.006211180124223602	161
1	prefill	A_unsafe_redflag	135	0.012822776581489028	0.11801242236024845	0.10865615945367019	1	0.006211180124223602	161
1	prefill	A_unsafe_redflag	146	0.012211305427041724	0.07453416149068323	0.16383501447947646	4	0.024844720496894408	161
1	prefill	B_professional_or_descriptive	33	0.04863402550077123	0.36024844720496896	0.13500134664869254	15	0.09316770186335403	161
1	prefill	B_professional_or_descriptive	233	0.04469209240939588	0.37888198757763975	0.11795781767070061	4	0.024844720496894408	161
1	prefill	B_professional_or_descriptive	82	0.03958638488860608	0.13664596273291926	0.28970036213934447	12	0.07453416149068323	161
1	prefill	B_professional_or_descriptive	205	0.03805894123363506	0.36645962732919257	0.10385575489178381	2	0.012422360248447204	161
1	prefill	B_professional_or_descriptive	224	0.037327679446638715	0.2608695652173913	0.14308943787878176	7	0.043478260869565216	161
1	prefill	B_professional_or_descriptive	254	0.03380242121102157	0.18633540372670807	0.18140632716581576	13	0.08074534161490683	161
1	prefill	B_professional_or_descriptive	214	0.03212987719895326	0.15527950310559005	0.206916409161259	10	0.062111801242236024	161
1	prefill	B_professional_or_descriptive	173	0.02487731580520634	0.049689440993788817	0.5006559805797777	6	0.037267080745341616	161
1	prefill	B_professional_or_descriptive	112	0.024333021488036073	0.15527950310559005	0.15670465838295233	8	0.049689440993788817	161
1	prefill	B_professional_or_descriptive	24	0.020836613107565648	0.16149068322981366	0.12902671962761805	4	0.024844720496894408	161
