track	layer	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	1	13	92	0.0036741465256446555	0.0065209239715235566	0.05252918287937743	0.12413907116159659	0.002846777445878901	0.0234375	0.12146250435749978	514	768
generation_clean	1	14	223	0.0036713616658932994	0.00991247088445332	0.058365758754863814	0.1698336678203002	0.00624110921856002	0.04296875	0.14524763272285138	514	768
generation_clean	1	15	16	0.0034253417311483794	0.006495522465957282	0.042801556420233464	0.1517590248864565	0.003070180734808903	0.022135416666666668	0.13869992966666103	514	768
generation_clean	1	16	29	0.003320507874963476	0.01027181903111863	0.07392996108949416	0.1389398679472362	0.006951311156155154	0.053385416666666664	0.13020992604700388	514	768
generation_clean	1	17	40	0.0032957941677578166	0.008366162302482372	0.06031128404669261	0.13871636849922386	0.005070368134724556	0.033854166666666664	0.14977087413340226	514	768
generation_clean	1	18	165	0.0032736147949563995	0.009111181210201795	0.07003891050583658	0.13008742061232562	0.005837566415245395	0.0390625	0.1494417002302821	514	768
generation_clean	1	19	60	0.0032557587936636774	0.012052702790387972	0.07003891050583658	0.1720858120627616	0.008796943996724295	0.04296875	0.20472887846921994	514	768
generation_clean	1	20	162	0.003188074201404883	0.005771765340899753	0.04085603112840467	0.14127082786773681	0.0025836911394948696	0.020833333333333332	0.12401717469575374	514	768
prefill	1	1	173	0.06791099096061472	0.09278830676582106	0.16770186335403728	0.5532932366406367	0.02487731580520634	0.049689440993788817	0.5006559805797777	161	161
prefill	1	2	23	0.012929412704480427	0.019988574178749573	0.16149068322981366	0.12377540164533389	0.007059161474269146	0.062111801242236024	0.11365249973573326	161	161
prefill	1	3	163	0.007905518323731308	0.009478816076115155	0.16770186335403728	0.056521829194612586	0.0015732977523838473	0.031055900621118012	0.05066018762675988	161	161
prefill	1	4	17	0.007158686025376768	0.014266832723916286	0.19254658385093168	0.07409548608227491	0.007108146698539519	0.07453416149068323	0.09536763487207188	161	161
prefill	1	5	202	0.006970654221265528	0.015934157023739876	0.13043478260869565	0.12216187051533905	0.008963502802474347	0.08074534161490683	0.11100953470756691	161	161
prefill	1	6	80	0.005854514867708541	0.009595908696688405	0.16770186335403728	0.05722004815432715	0.003741393828979864	0.06832298136645963	0.05476040058779619	161	161
prefill	1	7	24	0.00467790033501906	0.025514513442584708	0.2111801242236025	0.12081872541929817	0.020836613107565648	0.16149068322981366	0.12902671962761805	161	161
prefill	1	8	21	0.0044771383917347534	0.0044771383917347534	0.10559006211180125	0.04240113418054678	0.0	0.0	0.0	161	161
prefill	1	9	123	0.0037057151099889087	0.009282128973512382	0.16770186335403728	0.05534899128649976	0.005576413863523474	0.062111801242236024	0.08978026320272793	161	161
prefill	1	10	40	0.0032914941457139572	0.007253349910517151	0.055900621118012424	0.1297543706214735	0.003961855764803194	0.031055900621118012	0.12757175562666284	161	161
prefill	1	11	198	0.0032118356702520237	0.005131731826477162	0.037267080745341616	0.1377014706771372	0.0019198961562251384	0.012422360248447204	0.15455164057612367	161	161
prefill	1	12	79	0.0031596211201129704	0.004048034148139373	0.037267080745341616	0.10862224964173985	0.0008884130280264024	0.012422360248447204	0.07151724875612539	161	161
prefill	1	13	98	0.002771068783773681	0.0035297495470111152	0.018633540372670808	0.18942989235626317	0.0007586807632374338	0.006211180124223602	0.12214760288122685	161	161
prefill	1	14	234	0.0026752029478927554	0.00747846248660303	0.07453416149068323	0.100336038361924	0.004803259538710275	0.06832298136645963	0.07030225324839584	161	161
